company,website,contact_email,location,audit_summary,audit_top_issue,source_date
Winglemire Furniture,https://winglemire.com,info@winglemire.com,"Holly, MI","3 SEO issues found, most notably: multiple H1 headings (4 h1 tags on the page). Also: meta description too long, legacy meta keywords tag present.","Multiple H1 headings (MEDIUM): 4 <h1> tags found: [""Live beautifully"",""We make it easy to find the perfect furn"",""Special Orders"",""Free Delivery""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
Naturally Wood Furniture & Mattress,https://naturallywoodfurniturecenter.com,sales@naturallywood.biz,"Michigan City, IN","2 SEO issues found, most notably: images missing alt text (35 of 46 img tags). Also: meta description too long.",Images missing alt text (MEDIUM): 35 of 46 <img> tags have no (or empty) alt attribute. Add descriptive alt text to every product/content image for accessibility and image search.,2026-09-14
Groen's Fine Furniture,https://groensfinefurniture.com,sales@groenfurniture.com,"Dyer, IN / Crown Point, IN","2 SEO issues found, most notably: title tag too long (74 characters). Also: meta description too long.","Title tag too long (LOW): Title is 74 characters: ""Online Furniture Store Dyer & Crown Point IN - Groen's Fine Furniture"" Shorten to under 60 characters so it doesn't get truncated in search results.",2026-09-14
Denver True Value Hardware,https://denvertruevalue.com/,lauren@denvertruevalue.com,"Denver, CO","1 SEO issue found, most notably: Thin content on page.","Thin content on page (MEDIUM): Approximately 90 visible words detected on this page. Expand with genuinely useful content (buying guides, FAQs) -- thin pages rank poorly.",2026-09-14
West Des Moines True Value,https://truevaluewdm.com/,wdmtruevalue@truevalue.net,"West Des Moines, IA","2 SEO issues found, most notably: Thin content on page. Also: Meta description too long.","Thin content on page (MEDIUM): Approximately 92 visible words detected on this page. Expand with genuinely useful content (buying guides, FAQs) -- thin pages rank poorly.",2026-09-14
Fix & Feed Hardware,https://fixandfeed.com/,orders@fixandfeed.com,"Commerce, TX","4 SEO issues found, most notably: Missing meta description. Also: H1 doesn't reinforce the title's target keyword, Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
73rd Street Hardware,https://73rdstreethardware.net/,73hardware@gmail.com,"New York, NY","5 SEO issues found, most notably: H1 doesn't reinforce the title's target keyword. Also: Title tag too long, Meta description too long.","H1 doesn't reinforce the title's target keyword (MEDIUM): H1: ""Tools and Services for Home Improvement"" | Title: ""73rd Street Hardware - Hardware Store Upper West Side, Hardware Store"" Rework the H1 to include the same core keyword as the title tag.",2026-09-14
Warshaw Hardware,https://www.warshawhardware.com/,customerservice@warshawhardware.com,"New York, NY","4 SEO issues found, most notably: No H1 heading found. Also: Legacy <meta name=""keywords""> tag present, Images missing alt text.",No H1 heading found (HIGH): Zero <h1> tags on the page. Add exactly one H1 that includes the primary keyword.,2026-09-14
Hartville Hardware,https://www.hartvillehardware.com/,services@hartvillehardware.com,"Hartville, OH","2 SEO issues found, most notably: Missing meta description. Also: Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
Hippo Hardware & Trading Company,https://www.hippohardware.com/,hippohardware@gmail.com,"Portland, OR","2 SEO issues found, most notably: No H1 heading found. Also: Images missing alt text.",No H1 heading found (HIGH): Zero <h1> tags on the page. Add exactly one H1 that includes the primary keyword.,2026-09-14
Action Hardware,https://actionhardwarede.com/,actionhardwareInfo1@gmail.com,,"3 SEO issues found, most notably: Multiple H1 headings. Also: Images missing alt text, No structured data (schema.org) detected.","Multiple H1 headings (MEDIUM): 2 <h1> tags found: [""Action Hardware"",""Don't have an account yet?""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
Fairfax Hardware,https://fairfaxhardwarede.com/,fairfaxhardwareInfo1@gmail.com,,"3 SEO issues found, most notably: Multiple H1 headings. Also: Images missing alt text, No structured data (schema.org) detected.","Multiple H1 headings (MEDIUM): 2 <h1> tags found: [""Fairfax Hardware"",""Don't have an account yet?""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
"Independent Hardware, Inc.",https://independenthardware.com/,sales@independenthardware.com,"Philadelphia, PA","4 SEO issues found, most notably: Missing meta description. Also: No H1 heading found, Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
Tonkadale Greenhouse,https://tonkadale.com/,hello@tonkadale.com,"Minnetonka, MN","4 SEO issues found, most notably: Title tag too long (LOW). Also: Meta description too long, Images missing alt text.","Title tag too long (LOW): Title is 94 characters: ""Tonkadale Greenhouse | Minnetonka&#x27;s favorite family-owned garden center and plant nursery"" Shorten to under 60 characters so it doesn't get truncated in search results.",2026-09-14
Tex-Scapes Nursery,https://texscapesnursery.com/,info@texscapesnursery.com,"Ennis, TX",1 SEO issue found: Images missing alt text (MEDIUM) -- 11 of 35 img tags have no alt attribute.,Images missing alt text (MEDIUM): 11 of 35 <img> tags have no (or empty) alt attribute. Add descriptive alt text to every product/content image for accessibility and image search.,2026-09-14
Blooming Colors Nursery,https://bloomingcolorsnursery.com/,bloomingcolors@bloomingcolorsnursery.com,"Grapevine, TX","4 SEO issues found, most notably: Multiple H1 headings (MEDIUM) -- 14 h1 tags on one page. Also: Title tag too long, Meta description too long.",Multiple H1 headings (MEDIUM): 14 <h1> tags found on the page (should be exactly one). Keep a single H1 per page; demote the rest to H2.,2026-09-14
Spillane's Nursery,https://www.spillanesnursery.com/,tspillanejr@spillanesnursery.com,,"2 SEO issues found, most notably: Title tag too long (LOW). Also: Images missing alt text.","Title tag too long (LOW): Title is 96 characters: ""Massachusett's premiere full-service landscaping company. – Spillane's Nursery"" Shorten to under 60 characters so it doesn't get truncated in search results.",2026-09-14
Valley Nursery,https://valleynurseryinc.com/,info@valleynurseryinc.com,"Poulsbo, WA","4 SEO issues found, most notably: H1 doesn't reinforce the title's target keyword (MEDIUM). Also: Title tag too long, Meta description too long.","H1 doesn't reinforce the title's target keyword (MEDIUM): H1: ""Where Poulsbo Comes to Grow"" | Title: ""Valley Nursery | Poulsbo's Premier Garden Center & Plant Nursery"" Rework the H1 to include the same core keyword as the title tag.",2026-09-14
One Green World,https://onegreenworld.com/,info@onegreenworld.com,"Portland, OR","2 SEO issues found, most notably: No H1 heading found (HIGH). Also: Images missing alt text.",No H1 heading found (HIGH): Zero <h1> tags on the page. Add exactly one H1 that includes the primary keyword.,2026-09-14
Pets on Broadway NYC,https://petsonbroadwaynyc.com/,petsonbroadwaynyc2@gmail.com,"New York, NY","4 SEO issues found, most notably: Meta description too long (LOW). Also: Multiple H1 headings, Images missing alt text.",Meta description too long (LOW): 166 characters. Trim to under 160 characters.,2026-09-14
Pet Pantry Warehouse,https://www.ppwpet.com/,info@ppwpet.com,,"4 SEO issues found, most notably: No H1 heading found (HIGH). Also: Title tag too long, Meta description too long.",No H1 heading found (HIGH): Zero <h1> tags on the page. Add exactly one H1 that includes the primary keyword.,2026-09-14
Incredible Pets,https://incredpets.com/,Hello@incredpets.com,,"4 SEO issues found, most notably: Title/meta description may be inconsistent (MEDIUM). Also: Multiple H1 headings, Images missing alt text.","Title/meta description may be inconsistent (MEDIUM): Title: ""Incredible Pets"" | Description: ""A family-owned business serving pet parents since 1995..."" -- low keyword overlap. Align the description with everything promised in the title (e.g. all locations/services named in the title).",2026-09-14
All The Best Pet Care,https://www.allthebestpetcare.com/,customercare@allthebestpetcare.com,,"2 SEO issues found, most notably: Title/meta description may be inconsistent (MEDIUM). Also: No H1 heading found.","Title/meta description may be inconsistent (MEDIUM): Title: ""Same day local delivery for dog and cat supplies"" | Description names 9 WA cities -- low keyword overlap. Align the description with everything promised in the title (e.g. all locations/services named in the title).",2026-09-14
New Leaf Nursery,https://newleafnurseryhayden.com/,newleaf@newleafnurseryhayden.com,"Hayden, ID","2 SEO issues found, most notably: Meta description too long (LOW). Also: Images missing alt text.",Meta description too long (LOW): 249 characters. Trim to under 160 characters.,2026-09-14
Hidden Ponds Nursery,https://www.hiddenpondsnursery.com/,info@hiddenpondsnursery.com,,"4 SEO issues found, most notably: Missing meta description (HIGH). Also: Multiple H1 headings, Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
Zoo Creatures New England,https://www.zoocreatures.com/,ZooCreaturesPetStore@gmail.com,,"4 SEO issues found, most notably: Title tag too long (LOW). Also: Meta description too long, Multiple H1 headings.","Title tag too long (LOW): Title is 70 characters: ""Exotic and Unique Pet Store & Pet Supplies - Zoo Creatures New England"" Shorten to under 60 characters so it doesn't get truncated in search results.",2026-09-14
Depot Town Cats and Dogs,https://www.ypsicatsanddogs.com/,info@ypsicatsanddogs.com,"Ypsilanti, MI","5 SEO issues found, most notably: Title tag too long (LOW). Also: Meta description too long, H1 doesn't reinforce the title's target keyword.","Title tag too long (LOW): Title is 83 characters: ""Depot Town Cats & Dogs INDIE PET SUPPLY - Depot Town Cats and Dogs Indie Pet Supply"" Shorten to under 60 characters so it doesn't get truncated in search results.",2026-09-14
Glynn Young's Landscaping and Nursery Center,https://www.glynnyoungsnursery.com/,gylandscaping@windstream.net,"Nicholasville, KY","4 SEO issues found, most notably: Title tag too long (LOW). Also: Legacy meta keywords tag present, Images missing alt text.","Title tag too long (LOW): Title is 81 characters: ""Glynn Young's Landscaping and Nursery Center | Nursery Center | Nicholasville, KY"" Shorten to under 60 characters so it doesn't get truncated in search results.",2026-09-14
Baeten's Nursery,https://baetensnursery.com/,baetensnursery@fuse.net,,"3 SEO issues found, most notably: Missing meta description (HIGH). Also: No H1 heading found, Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
Kinsey Gardens Inc,https://www.kinseygardens.com/,KinseyGardens@gmail.com,,"3 SEO issues found, most notably: Missing meta description (HIGH). Also: Multiple H1 headings, Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
The Bicycle Hub,https://thebicyclehubpec.com/,contact@thebicyclehubpec.com,"Pecatonica, IL","5 SEO issues found, most notably: Multiple H1 headings. Also: Meta description too long, Images missing alt text.","Multiple H1 headings (MEDIUM): 5 <h1> tags found: [""Stop In and See Us! "",""Coming Soon"",""Our Services"",""Have Questions?"",""Follow Along""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
South Lake Cycle,https://www.southlakecycle.bike/,info@southlakecycle.bike,"Excelsior, MN",1 SEO issue found: Images missing alt text.,Images missing alt text (MEDIUM): 3 of 10 <img> tags have no (or empty) alt attribute. Add descriptive alt text to every product/content image for accessibility and image search.,2026-09-14
NW Pro Gear,https://www.nwprogear.com/,nwprogear2@gmail.com,"Portland, OR","4 SEO issues found, most notably: Multiple H1 headings. Also: Title tag too long, Meta description too long.","Multiple H1 headings (MEDIUM): 2 <h1> tags found: [""YOUR LOCAL BIKE SHOP. - LENTS | PORTLAND"",""PRO SERVICE""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
North Star Sports,https://northstarsportsvt.com/,northstarsportsvt@gmail.com,"Burlington, VT","3 SEO issues found, most notably: Multiple H1 headings. Also: Meta description too long, Images missing alt text.","Multiple H1 headings (MEDIUM): 2 <h1> tags found: ["""",""""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
High Mountain Cycles,https://www.highmountaincycles.com/,highmountaincycles@gmail.com,,"3 SEO issues found, most notably: Missing meta description. Also: No H1 heading found, Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
Rhoddie Bicycle Outfitters,http://www.rhoddiebicycleoutfitters.com/,info@rhoddiebicycleoutfitters.com,"Blowing Rock, NC","3 SEO issues found, most notably: Multiple H1 headings. Also: Meta description too long, Images missing alt text.","Multiple H1 headings (MEDIUM): 2 <h1> tags found: [""Blowing Rock's Bicycle Shop"",""Our Bicycle Brands""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
Red Rock Bicycle Co,https://www.redrockbicycle.com/,ridercare.stg@redrockbicycle.com,"St. George, UT","4 SEO issues found, most notably: H1 doesn't reinforce the title's target keyword. Also: Title tag too long, Meta description too long.","H1 doesn't reinforce the title's target keyword (MEDIUM): H1: ""One Chance at Fall Weather"" | Title: ""Red Rock Bicycle Co | Shop Specialized, Aventon, Norco & More"" Rework the H1 to include the same core keyword as the title tag.",2026-09-14
Downrange Bike Works,https://www.downrangebikeworks.com/,service@downrangebikeworks.com,"West Jordan, UT","3 SEO issues found, most notably: Multiple H1 headings. Also: Title tag too long, Meta description too long.","Multiple H1 headings (MEDIUM): 4 <h1> tags found: [""DOWNRANGE BIKE WORKS"",""FREE PICK UP & DELIVERY"",""NORCO EBIKE DEMOS"",""LECTRIC EBIKE RENTALS""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
Oregon Bike Shop,http://www.oregonbikeshop.com/,ride@oregonbikeshop.com,"Portland, OR","6 SEO issues found, most notably: No H1 heading found. Also: Title tag too long, Title/meta description may be inconsistent.",No H1 heading found (HIGH): Zero <h1> tags on the page. Add exactly one H1 that includes the primary keyword.,2026-09-14
Cycle Analysis,https://www.cycleanalysis.net/,cycleanalysis@cycleanalysis.net,"Jacksonville, OR","3 SEO issues found, most notably: Missing meta description. Also: Multiple H1 headings, Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
City Flower Shop,https://cityflowershop.com/,support@cityflowershop.com,,"3 SEO issues found, most notably: Title/meta description may be inconsistent. Also: Legacy <meta name=""keywords""> tag present, Images missing alt text.","Title/meta description may be inconsistent (MEDIUM): Title: ""City Flower Shop &#8211; Family Owned & Operated Florist"" | Description: ""Same-day flower delivery across the U.S. Fresh bouquets handcrafted locally for birthdays, anniversaries, sympathy and everyday gifting."" -- low keyword overlap. Align the description with everything promised in the title (e.g. all locations/services named in the title).",2026-09-14
Anaheim Hills Florist,https://anaheimhillsflorists.com/,CarolDolan@anaheimhillsflorists.com,"Anaheim Hills, CA","2 SEO issues found, most notably: Missing meta description. Also: Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
Bonnie Bee Flowers,https://bonniebeeflowers.com/,bonniebeeflowers@gmail.com,,"3 SEO issues found, most notably: No H1 heading found. Also: Images missing alt text, No structured data (schema.org) detected.",No H1 heading found (HIGH): Zero <h1> tags on the page. Add exactly one H1 that includes the primary keyword.,2026-09-14
Butterfly Blooms,https://www.butterflybloomsflowershop.com/,butterflyblooms@yahoo.com,"Littlestown, PA","4 SEO issues found, most notably: No H1 heading found. Also: Title/meta description may be inconsistent, No structured data (schema.org) detected.",No H1 heading found (HIGH): Zero <h1> tags on the page. Add exactly one H1 that includes the primary keyword.,2026-09-14
The Farmer's Daughter Flowers,https://thefarmersdaughterflowers.com/,thefarmersdaughter@thefarmersdaughterflowers.org,,"3 SEO issues found, most notably: Missing meta description. Also: Multiple H1 headings, Images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
The Flower Peddler,https://flowerpeddlerflorist.com/,orders@flowerpeddlerflorist.com,"Clinton Township, MI","3 SEO issues found, most notably: Title/meta description may be inconsistent. Also: Meta description too long, Images missing alt text.","Title/meta description may be inconsistent (MEDIUM): Title: ""The Flower Peddler &ndash; FlowerPeddler"" | Description: ""Local family-owned florist in Clinton Township, conveniently located across the street for a cemetery. We have the lowest prices and get our flowers direct from the farm."" -- low keyword overlap. Align the description with everything promised in the title (e.g. all locations/services named in the title).",2026-09-14
Leaves Floral Design & Events,https://shop.leavesfloraldesign.com/,info@leavesfloraldesign.com,"Muskego, WI","3 SEO issues found, most notably: Multiple H1 headings. Also: Images missing alt text, No structured data (schema.org) detected.","Multiple H1 headings (MEDIUM): 2 <h1> tags found: [""Fresh Flowers, Plants & Gifts For Any Oc"",""Fresh Flowers, Plants & Gifts For Any Oc""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
